2024																									
Тестирую концепт Браяна + мои 10/20 сма																									
	Di score W	Di score D	Di score 4h	Total	13 ema	30 sma	bull/bear									моя таблица									
19.04.2024	13	11	10	34	32,5	36,8	bear																		
20.04.2024	13	12	13	38	33,3	36,8	bear																		
21.04.2024	13	12	13	38	34,0	36,8	bear																		
22.04.2024	12	13	14	39	34,7	36,9	bear																		
23.04.2024	12	14	12	38	35,2	37,0	bear																		
24.04.2024	12	9	9	30	34,4	36,4	bear																		
25.04.2024	12	10	3	25	33,1	35,7	bear																		
26.04.2024	12	10	3	25	31,9	35,2	bear																		
27.04.2024	12	9	3	24	30,8	34,6	bear																		
28.04.2024	12	8	7	27	30,3	34,1	bear																		
29.04.2024	12	10	2	24	29,4	33,5	bear																		
30.04.2024	12	9	8	29	29,3	33,0	bear																		
01.05.2024	12	8	2	22	28,3	32,4	bear																		
02.05.2024	12	8	4	24	27,7	32,2	bear																		
03.05.2024	12	10	7	29	27,8	32,3	bear																		
04.05.2024	12	11	14	37	29,2	32,4	bear																		
05.05.2024	12	12	14	38	30,4	32,5	bear																		
06.05.2024	13	12	12	37	31,4	32,4	bear																		
07.05.2024	13	10	7	30	31,2	31,9	bear																		
08.05.2024	13	8	4	25	30,3	31,4	bear																		
09.05.2024	13	10	3	26	29,7	30,9	bear																		
10.05.2024	13	7	10	30	29,7	30,6	bear																		
11.05.2024	13	7	2	22	28,6	29,9	bear																		
12.05.2024	13	8	2	23	27,8	29,5	bear																		
13.05.2024	13	13	11	37	29,1	29,8	bear																		
14.05.2024	13	8	13	34	29,8	29,9	bear																		
15.05.2024	13	15	10	38	31,0	30,1	bull	61470																	
16.05.2024	13	15	15	43	32,7	30,6	bull																		
17.05.2024	13	17	17	47	34,7	31,2	bull																		
18.05.2024	13	17	15	45	36,2	31,9	bull																		
19.05.2024	13	17	14	44	37,3	32,3	bull																		
20.05.2024	15	17	14	46	38,6	32,5	bull																		
